tiempo;cpu
2.096E-4;34.5
2.17E-4;34.5
2.448E-4;34.5
2.764E-4;34.5
2.605E-4;34.5
2.607E-4;34.5
2.902E-4;29.4
3.341E-4;29.4
2.058E-4;29.4
1.94E-4;29.4
2.685E-4;29.4
2.944E-4;29.4
2.069E-4;29.4
3.098E-4;29.4
1.985E-4;29.4
2.025E-4;29.4
1.924E-4;34.6
2.606E-4;34.6
3.375E-4;33.2
3.598E-4;33.2
2.449E-4;33.2
2.989E-4;33.2
3.165E-4;33.2
2.853E-4;33.2
4.247E-4;33.2
3.489E-4;76.3
2.539E-4;76.3
2.847E-4;76.3
3.66E-4;76.3
4.397E-4;76.3
2.262E-4;76.3
2.023E-4;76.3
2.669E-4;81.1
3.618E-4;81.1
2.105E-4;81.1
2.332E-4;81.1
3.338E-4;81.1
3.25E-4;81.1
4.07E-4;84.9
2.285E-4;84.9
2.269E-4;84.9
2.27E-4;84.9
2.585E-4;84.9
2.542E-4;84.9
2.508E-4;84.9
4.632E-4;84.9
2.712E-4;84.9
2.44E-4;84.9
3.548E-4;35.1
3.423E-4;35.1
2.674E-4;35.1
2.692E-4;35.1
2.831E-4;35.1
2.154E-4;35.1
2.25E-4;35.1
2.306E-4;35.1
3.078E-4;35.1
2.306E-4;35.1
2.985E-4;40.0
2.167E-4;40.0
4.19E-4;40.0
3.061E-4;40.0
2.397E-4;40.0
2.353E-4;40.0
3.654E-4;40.0
2.448E-4;40.0
2.191E-4;40.0
2.686E-4;40.0
2.451E-4;37.3
0.0011105;37.3
2.884E-4;37.3
3.393E-4;37.3
4.042E-4;37.3
2.629E-4;37.3
3.873E-4;37.3
2.108E-4;37.3
2.047E-4;37.3
2.565E-4;37.3
2.843E-4;40.6
2.678E-4;40.6
0.001116;40.6
2.376E-4;40.6
3.203E-4;40.6
3.309E-4;40.6
2.56E-4;40.6
2.21E-4;40.6
2.349E-4;40.6
2.137E-4;41.8
2.194E-4;41.8
2.062E-4;41.8
2.055E-4;41.8
2.476E-4;41.8
2.014E-4;41.8
8.167E-4;41.8
2.425E-4;41.8
2.089E-4;41.8
2.078E-4;43.1
1.887E-4;43.1
2.414E-4;43.1
2.101E-4;43.1
1.836E-4;43.1
2.073E-4;43.1
3.457E-4;43.1
2.917E-4;43.1
2.654E-4;43.1
2.425E-4;47.5
1.988E-4;47.5
2.477E-4;47.5
3.314E-4;47.5
2.059E-4;47.5
2.376E-4;47.5
2.237E-4;47.5
2.304E-4;47.5
2.273E-4;47.5
2.042E-4;39.8
2.008E-4;39.8
2.116E-4;39.8
2.221E-4;39.8
2.273E-4;39.8
2.118E-4;39.8
1.812E-4;39.8
2.939E-4;39.8
2.632E-4;39.8
4.823E-4;51.3
2.077E-4;51.3
1.951E-4;51.3
2.022E-4;51.3
1.987E-4;51.3
1.845E-4;51.3
1.995E-4;51.3
1.686E-4;51.3
2.026E-4;51.3
2.639E-4;51.3
2.127E-4;41.5
2.344E-4;41.5
2.656E-4;41.5
2.271E-4;41.5
2.067E-4;41.5
3.004E-4;41.5
2.162E-4;41.5
2.335E-4;41.5
3.251E-4;41.5
2.057E-4;52.7
2.517E-4;52.7
1.941E-4;52.7
2.046E-4;52.7
2.87E-4;52.7
2.589E-4;52.7
2.741E-4;52.7
1.675E-4;52.7
2.197E-4;52.7
2.102E-4;45.0
1.713E-4;45.0
2.019E-4;45.0
1.666E-4;45.0
1.807E-4;45.0
2.442E-4;45.0
2.115E-4;45.0
1.898E-4;45.0
1.99E-4;34.9
1.72E-4;34.9
2.303E-4;34.9
1.914E-4;34.9
2.288E-4;34.9
2.248E-4;34.9
1.881E-4;34.9
2.539E-4;34.9
2.605E-4;34.9
1.912E-4;34.9
1.83E-4;41.2
2.636E-4;41.2
3.864E-4;41.2
2.051E-4;41.2
1.941E-4;41.2
2.065E-4;41.2
2.069E-4;41.2
1.972E-4;41.2
1.722E-4;41.2
1.951E-4;40.6
2.102E-4;40.6
2.647E-4;40.6
2.426E-4;40.6
2.125E-4;40.6
1.997E-4;40.6
2.042E-4;40.6
1.723E-4;40.6
1.808E-4;40.6
2.044E-4;40.6
2.286E-4;38.9
2.535E-4;38.9
3.264E-4;38.9
2.947E-4;38.9
2.183E-4;38.9
3.04E-4;38.9
2.735E-4;38.9
2.653E-4;38.9
1.971E-4;38.9
1.915E-4;38.9
